createdat,orderid,restaurantstatus,paymentmethod,subtotal,customerid,restaurantname,customeraddressprovince,restaurantacceptedat,foodpreparedpromised,podactual
2019-08-14 13:13:42,14409843,none,none,243.8,2115400,Simply Asia Galleria,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:22:54,14410179,restaurant_accepted,credit,172.6,2115400,Simply Asia Galleria,KwaZulu-Natal,2019-08-14 13:52:05,2019-08-14 14:12:05,2019-08-14 14:22:02
2019-08-14 15:12:29,14413033,none,none,68.0,2115401,Bin Rashied Pizza & Grills Diep River,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-18 15:52:21,14558641,none,none,68.0,2115401,Bin Rashied Pizza & Grills Rosmead,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:08:47,14409655,restaurant_accepted,credit,30.0,2115405,Spur Red Eagle,Gauteng,2019-08-14 13:12:09,2019-08-14 13:27:09,0000/00/00  00:00:00
2019-08-19 12:34:45,14582564,restaurant_accepted,credit,30.0,2115405,Spur Red Eagle,Gauteng,2019-08-19 12:37:05,2019-08-19 12:52:05,0000/00/00  00:00:00
2019-08-20 12:43:56,14609074,restaurant_accepted,credit,30.0,2115405,Spur Red Eagle,Gauteng,2019-08-20 12:49:21,2019-08-20 13:04:21,2019-08-20 13:33:11
2019-09-17 12:30:42,15753595,restaurant_accepted,cash,59.9,2115405,Roman's Pizza Sunnyside,Gauteng,2019-09-17 12:33:07,2019-09-17 12:48:07,2019-09-17 13:34:07
2019-08-14 13:10:14,14409717,restaurant_accepted,cash,106.8,2115406,McDonald's East Rand Value Mall,Gauteng,2019-08-14 13:11:51,2019-08-14 13:26:51,2019-08-14 13:24:22
2019-09-11 15:36:08,15534113,none,none,63.9,2115409,Burger King Sasol,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-12 13:13:42,15562709,none,none,63.9,2115409,Burger King Sasol,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-17 14:26:17,15757954,none,none,39.8,2115409,Popeyes Eastgate,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-17 14:27:34,15757999,none,none,39.8,2115409,Popeyes Eastgate,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-17 14:35:13,15758179,none,none,102.7,2115409,Burger King Sasol,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 12:57:39,14409251,none,none,159.8,2115410,KFC Greenstone,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:03:17,14409437,none,none,109.8,2115410,KFC Greenstone,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:04:17,14409474,none,none,109.8,2115410,KFC Greenstone,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:08:08,14409628,none,none,109.8,2115410,KFC Greenstone,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:09:10,14409669,none,none,109.8,2115410,KFC Greenstone,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:10:04,14409710,none,none,109.8,2115410,KFC Greenstone,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:28:54,14410375,restaurant_accepted,credit,109.8,2115410,KFC Greenstone,Gauteng,2019-08-14 13:33:04,2019-08-14 13:48:04,2019-08-14 13:56:13
2019-08-15 12:50:33,14437312,restaurant_accepted,credit,338.4,2115410,Del Forno Stoneridge,Gauteng,2019-08-15 12:52:51,2019-08-15 13:22:51,2019-08-15 13:28:54
2019-08-20 11:00:48,14604120,restaurant_accepted,cash,70.9,2115410,KFC Greenstone,Gauteng,2019-08-20 11:01:20,2019-08-20 11:16:20,2019-08-20 11:20:30
2019-08-21 13:58:35,14640994,restaurant_accepted,credit,90.0,2115410,The Cooking Divas,Gauteng,2019-08-21 13:59:28,2019-08-21 14:14:28,2019-08-21 14:28:22
2019-08-23 11:30:57,14700345,restaurant_accepted,credit,87.0,2115410,The Cooking Divas,Gauteng,2019-08-23 11:31:38,2019-08-23 11:51:38,2019-08-23 12:12:48
2019-08-26 10:49:09,14841728,restaurant_accepted,credit,153.6,2115410,Mugg & Bean Greenstone Mall,Gauteng,2019-08-26 10:49:53,2019-08-26 11:04:53,2019-08-26 11:27:33
2019-08-27 11:21:57,14876896,restaurant_accepted,credit,69.8,2115410,Mochachos Greenstone Mall,Gauteng,2019-08-27 11:22:36,2019-08-27 11:42:36,2019-08-27 11:52:59
2019-08-28 12:00:48,14927661,restaurant_accepted,credit,166.0,2115410,Rocomamas Stoneridge Mall,Gauteng,2019-08-28 12:05:11,2019-08-28 12:27:11,2019-08-28 12:31:56
2019-08-29 14:20:54,15002233,restaurant_accepted,credit,144.8,2115410,Kung Fu Kitchen Edenglen Village,Gauteng,2019-08-29 14:21:31,2019-08-29 14:37:31,2019-08-29 14:49:52
2019-08-30 10:15:25,15034219,restaurant_accepted,credit,153.6,2115410,Mugg & Bean Greenstone Mall,Gauteng,2019-08-30 10:16:21,2019-08-30 10:33:21,2019-08-30 10:43:42
2019-08-14 12:59:04,14409301,none,none,93.8,2115412,McDonald's Rosebank,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:01:05,14409368,none,none,93.8,2115412,McDonald's Rosebank,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:02:04,14409399,none,none,93.8,2115412,McDonald's Rosebank,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:03:43,14409453,restaurant_accepted,cash,93.8,2115412,McDonald's Rosebank,Johannesburg,2019-08-14 13:05:03,2019-08-14 13:20:03,2019-08-14 14:10:51
2019-08-29 20:29:33,15029370,none,none,219.0,2115412,Nando's The Zone,Johannesburg,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:06:48,14409571,restaurant_accepted,credit,244.0,2115415,Nando's Featherbrooke,Gauteng,2019-08-14 13:12:57,2019-08-14 13:42:57,2019-08-14 13:42:30
2019-08-14 13:26:20,14410296,none,none,69.9,2115416,KFC Johannesburg Cbd 1,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:28:09,14410348,none,none,102.8,2115416,KFC Johannesburg Cbd 1,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:03:29,14409445,none,credit,83.9,2115419,Romans Pizza Waverly,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:56:40,14411199,none,credit,83.9,2115419,Romans Pizza Waverly,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 14:03:17,14411391,none,none,83.9,2115419,Romans Pizza Waverly,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 14:10:55,14411614,restaurant_accepted,credit,83.9,2115419,Romans Pizza Waverly,Gauteng,2019-08-14 14:12:48,2019-08-14 14:27:48,2019-08-14 14:35:12
2019-08-16 12:23:45,14469139,none,none,97.9,2115420,Barcelos Burnett Street,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-28 12:28:41,14930493,none,none,69.8,2115420,KFC Mid City Square,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-28 13:11:31,14934514,restaurant_accepted,cash,69.8,2115420,KFC Mid City Square,Gauteng,2019-08-28 13:14:25,2019-08-28 13:29:25,2019-08-28 13:47:39
2019-10-09 11:25:06,16687847,restaurant_accepted,cash,88.0,2115420,Spur Phoenix,Gauteng,2019-10-09 11:27:52,2019-10-09 11:44:52,2019-10-09 12:03:39
2019-08-14 13:06:50,14409573,restaurant_accepted,cash,68.9,2115425,Steers Signet Terrace,Gauteng,2019-08-14 13:08:41,2019-08-14 13:23:41,2019-08-14 13:35:38
2019-08-25 19:42:00,14835887,restaurant_accepted,cash,132.0,2115425,Nando's Signet Terrace,Gauteng,2019-08-25 19:43:29,2019-08-25 20:03:29,2019-08-25 20:27:52
2019-09-02 12:34:09,15196211,restaurant_accepted,cash,109.7,2115425,Fishaways Trade Route Mall,Gauteng,2019-09-02 12:34:48,2019-09-02 12:53:48,2019-09-02 13:07:41
2019-10-01 14:21:49,16363492,restaurant_accepted,cash,81.8,2115425,Burger King Trade Route Mall,Gauteng,2019-10-01 14:22:36,2019-10-01 14:48:36,2019-10-01 15:21:37
2019-09-15 17:41:46,15705497,restaurant_accepted,cash,144.0,2115429,Top Shisanyama,Pretoria,2019-09-15 17:44:11,2019-09-15 18:22:11,2019-09-15 18:33:16
2019-09-24 12:48:12,16025253,restaurant_accepted,cash,179.2,2115429,McDonald's Wingtip Montana,Gauteng,2019-09-24 12:53:36,2019-09-24 13:08:36,2019-09-24 13:13:37
2019-09-15 11:12:03,15684681,none,none,360.0,2115431,Spur Chatoga,Kempton Park,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-12 12:24:03,16823592,none,credit,371.0,2115431,Piatto Glenbalad Centre,Kempton Park,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-12 12:53:59,16825349,none,none,174.2,2115431,Wimpy Glen Marais Motors,Kempton Park,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-15 12:54:30,14437476,restaurant_accepted,credit,155.9,2115433,Roman's Pizza Lenasia,Lenasia,2019-08-15 12:58:49,2019-08-15 13:13:49,2019-08-15 13:18:43
2019-09-05 20:30:12,15329164,restaurant_accepted,cash,65.8,2115436,McDonald's The Palms K90,Gauteng,2019-09-05 20:34:40,2019-09-05 20:49:40,2019-09-05 21:21:43
2019-08-14 13:06:55,14409577,none,none,99.8,2115438,McDonald's Pretoria CBD,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:09:00,14409660,restaurant_accepted,cash,112.7,2115438,McDonald's Pretoria CBD,Gauteng,2019-08-14 13:10:38,2019-08-14 13:25:38,2019-08-14 13:44:20
2019-08-14 13:08:06,14409626,none,none,378.0,2115439,Nando's Adderley St,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:08:24,14409634,none,none,378.0,2115439,Nando's Adderley St,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:09:58,14409705,none,none,378.0,2115439,Nando's Adderley St,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:12:06,14409778,restaurant_accepted,credit,378.0,2115439,Nando's Adderley St,Cape Town,2019-08-14 13:16:27,2019-08-14 13:46:27,2019-08-14 14:09:26
2019-08-29 12:29:06,14994724,restaurant_accepted,credit,407.0,2115439,Nando's Kloof St,Cape Town,2019-08-29 12:31:57,2019-08-29 13:04:57,2019-08-29 13:24:43
2019-09-04 13:55:43,15267359,restaurant_accepted,credit,520.0,2115439,Kleinsky's Parliament Street,Cape Town,2019-09-04 14:00:08,2019-09-04 14:27:08,2019-09-04 14:41:05
