customerid,orderid,rank_id
2115400,14410179,1
2115405,14409655,1
2115405,14582564,2
2115405,14609074,3
2115405,15753595,4
2115406,14409717,1
2115410,14410375,1
2115410,14437312,2
2115410,14604120,3
2115410,14640994,4
2115410,14700345,5
2115410,14841728,6
2115410,14876896,7
2115410,14927661,8
2115410,15002233,9
2115410,15034219,10
2115412,14409453,1
2115415,14409571,1
2115419,14411614,1
2115420,14934514,1
2115420,16687847,2
2115425,14409573,1
2115425,14835887,2
2115425,15196211,3
2115425,16363492,4
2115429,15705497,1
2115429,16025253,2
2115433,14437476,1
2115436,15329164,1
2115438,14409660,1
2115439,14409778,1
2115439,14994724,2
2115439,15267359,3
2115439,17017669,4
2115439,17082841,5
2115440,14409459,1
2115442,14436040,1
2115442,16687915,2
2115443,14409695,1
2115443,14438278,2
2115443,16075675,3
2115443,16320570,4
2115445,14409535,1
2115445,15190930,2
2115445,15546009,3
2115445,15616397,4
2115445,15747039,5
2115449,15047469,1
2115451,14409934,1
2115451,14457752,2
2115451,14687327,3
2115451,15092840,4
2115452,14409981,1
2115453,16040943,1
2115453,16081473,2
2115453,16373181,3
2115453,16451952,4
2115453,16502547,5
2115453,16745794,6
2115453,16889111,7
2115453,16889350,8
2115453,17057033,9
2115453,17074791,10
2115455,14410189,1
2115457,14606509,1
2115458,14997101,1
2115460,15224350,1
2115461,14410016,1
2115465,14410076,1
2115465,16590554,2
2115465,16875662,3
2115465,17216480,4
2115466,14409846,1
2115467,14409864,1
2115469,14410039,1
2115469,14768853,2
2115470,14411366,1
2115470,14934810,2
2115470,15526772,3
2115470,16170103,4
2115476,14410256,1
2115476,14472338,2
2115476,15142458,3
2115478,14410335,1
2115478,16505622,2
2115480,14409957,1
2115481,14410365,1
2115481,15498907,2
2115481,16489302,3
2115482,14422636,1
2115482,14615175,2
2115482,14868107,3
2115482,15017071,4
2115482,15024075,5
2115483,16224722,1
2115483,16227974,2
2115483,16321833,3
2115483,16735511,4
2115484,15712072,1
2115484,16049810,2
2115484,16083034,3
2115484,16112115,4
2115484,16249843,5
2115484,16555163,6
2115484,16824091,7
2115484,16943623,8
2115489,15646256,1
2115490,14410554,1
2115492,14438788,1
2115492,15315164,2
2115495,14412869,1
2115495,14429615,2
2115495,14540055,3
2115495,14556748,4
2115495,14630548,5
2115496,14435574,1
2115496,16935142,2
2115497,14639957,1
2115497,15233488,2
2115497,15530572,3
2115498,17178127,1
2115498,17392056,2
2115499,14410470,1
2115499,14449813,2
2115502,14410234,1
2115505,14410200,1
2115506,14761879,1
2115506,16906302,2
2115506,17332942,3
2115508,14640252,1
2115510,15662506,1
2115515,16501559,1
2115515,16553143,2
2115520,14604977,1
2115522,14639722,1
2115522,14702709,2
2115522,15000186,3
2115522,17375305,4
2115527,14411370,1
2115527,14643370,2
2115528,14410760,1
2115528,14411331,2
2115529,15171732,1
2115532,14411028,1
2115532,15633529,2
2115534,14410615,1
2115534,15826649,2
2115537,14750075,1
2115537,14882953,2
2115537,15700309,3
2115538,14410718,1
2115538,15459857,2
2115538,16420290,3
2115541,14410611,1
2115544,14410629,1
2115550,14411854,1
2115554,14851530,1
2115555,14410773,1
2115557,14477894,1
2115557,14950845,2
2115557,15066205,3
2115557,15440498,4
2115557,15569933,5
2115557,16368818,6
2115560,14411947,1
2115562,14411112,1
2115566,14414830,1
2115566,16469186,2
2115566,16979377,3
2115567,14771990,1
2115568,14429267,1
2115571,14637532,1
2115571,15060659,2
2115574,14411080,1
2115574,14638417,2
2115574,15820537,3
2115577,14411268,1
2115584,14414791,1
2115584,14752461,2
2115584,16075426,3
2115584,16430536,4
2115584,16554587,5
2115584,16727821,6
2115584,16919949,7
2115584,17415669,8
2115585,14411091,1
2115587,14411215,1
2115587,16779325,2
2115588,16379547,1
2115590,14411252,1
2115592,14413536,1
2115594,14411234,1
2115601,14411337,1
2115601,14555001,2
2115601,14763319,3
2115601,14872489,4
2115601,15094110,5
2115601,15150183,6
2115601,15195827,7
2115601,15416766,8
2115601,15590093,9
2115601,15807723,10
2115601,15951720,11
2115601,16064156,12
2115601,16443339,13
2115607,14411282,1
2115610,15558112,1
2115620,14412083,1
2115620,15563335,2
2115620,15601778,3
2115620,17386303,4
2115623,16362476,1
2115623,16364087,2
2115623,16691768,3
2115625,15583372,1
2115625,15594318,2
2115625,16098652,3
2115625,16220945,4
2115625,16374704,5
2115626,14411873,1
2115628,14412311,1
2115628,15194136,2
2115628,15600054,3
2115628,15608436,4
2115628,15821939,5
2115628,16074317,6
2115628,16773073,7
2115628,16807615,8
2115628,16831280,9
2115628,16857991,10
2115628,17283859,11
2115628,17533711,12
2115628,17533861,13
2115628,17542885,14
2115631,14412515,1
2115632,15671243,1
2115632,16509564,2
2115637,14412183,1
2115637,14784746,2
2115637,16147837,3
2115637,16994062,4
2115637,17504198,5
2115641,14411909,1
2115642,14411983,1
2115642,15820263,2
2115642,16120410,3
2115642,16621146,4
2115642,17013202,5
2115644,14412070,1
2115644,15991349,2
2115644,16517617,3
2115644,17479006,4
2115645,14473011,1
2115645,14887094,2
2115645,16123525,3
2115648,14416971,1
2115648,14873922,2
2115648,15463426,3
2115648,16890655,4
2115648,17285040,5
2115648,17450129,6
2115649,14411801,1
2115651,14412020,1
2115651,14433199,2
2115651,16325496,3
2115651,16822030,4
2115651,17322627,5
2115651,17445919,6
2115654,14412256,1
2115654,14431025,2
2115654,14580787,3
2115655,14798532,1
2115655,15200801,2
2115655,15290148,3
2115655,16326614,4
2115655,16406606,5
2115656,16688639,1
2115656,16971064,2
2115657,14873923,1
2115666,15273798,1
2115668,14412114,1
2115670,17358461,1
2115675,14419941,1
2115679,14845087,1
2115679,14877004,2
2115679,15198503,3
2115679,15222582,4
2115679,15261590,5
2115679,15303750,6
2115679,15750038,7
2115679,15782136,8
2115679,16310585,9
2115679,16726736,10
2115680,15051012,1
2115681,14412242,1
2115684,14423622,1
2115694,15117224,1
2115695,14412530,1
2115695,15122331,2
2115695,15205664,3
2115695,15457513,4
2115695,15502097,5
2115695,15743329,6
2115695,16252873,7
2115695,16403582,8
2115695,16581070,9
2115695,16864988,10
2115695,16982711,11
2115695,17507747,12
2115696,14412394,1
2115697,15247146,1
2115698,14412499,1
2115698,14490831,2
2115698,14853129,3
2115698,14921173,4
2115698,15021553,5
2115698,15055775,6
2115698,15366840,7
2115698,15367677,8
2115698,15770115,9
2115698,15812530,10
2115698,15886450,11
2115698,16007080,12
2115698,16195332,13
2115698,16364695,14
2115698,16713885,15
2115698,17044608,16
2115698,17048536,17
2115698,17194977,18
2115698,17416308,19
2115699,14412667,1
2115705,14449184,1
2115705,14916933,2
2115708,14777824,1
2115708,14835122,2
2115708,15075437,3
2115708,15101795,4
2115708,15134529,5
2115708,15163625,6
2115708,15606901,7
2115708,15710984,8
2115708,15711166,9
2115708,15854515,10
